budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,execution_mode,scenario_shard_index,scenario_shard_count,seed,repeated_setting_rate,nonfinite_fit_rate
20,0.1,0.1,2,0.03,5,0.0134164078649987,0.5,0.05,300,0.753333333333333,0.743333333333333,0.01,0.00498968494052715,0.0600918504933086,0.00486894876707611,0.0511436257728038,0.0106452652935081,0.0401596216499794,11.8666666666667,9.22,process-shard,4,4,20260912,0.593333333333335,0.246666666666667
20,0.2,0.05,0,0.015,4,0.0075,0,0,300,0.983333333333333,0.983333333333333,0,-0.00789777566314424,0.0764755991272048,-0.0411591531558936,0.0833973219446186,0.00604804843450366,0,6.05,3.87333333333333,process-shard,1,4,20260912,0.3025,0.0166666666666671
20,0.2,0.05,0,0.015,4,0.0075,0.25,0.0125,300,0.976666666666667,0.976666666666667,0,0.00187659908829153,0.0793546939895626,-0.0375130411115649,0.0886441934980893,0.00604804843450367,0.00999497300662622,6.3,3.95,process-shard,4,4,20260912,0.315,0.023333333333333
20,0.2,0.05,0,0.015,4,0.0075,0.5,0.025,300,0.973333333333333,0.973333333333333,0,-0.00354380741177264,0.0761240438852069,-0.0427847429187817,0.0898005152090695,0.00604804843450367,0.0199899460132524,6.79333333333333,4.34666666666667,process-shard,3,4,20260912,0.339666666666667,0.0266666666666669
20,0.2,0.05,0,0.015,5,0.00670820393249937,0,0,300,0.976666666666667,0.976666666666667,0,0.00526784078931454,0.0792650864473548,-0.0347289423963349,0.0809493663415849,0.00529624942601622,0,6.09666666666667,3.99,process-shard,2,4,20260912,0.304833333333334,0.023333333333333
20,0.2,0.05,0,0.015,5,0.00670820393249937,0.25,0.0125,300,0.986666666666667,0.986666666666667,0,-0.00394286216346716,0.0756843646608166,-0.0362544594564845,0.0899520030920313,0.00529624942601621,0.00980086702564708,6.13333333333333,3.74,process-shard,1,4,20260912,0.306666666666667,0.013333333333333
20,0.2,0.05,0,0.015,5,0.00670820393249937,0.5,0.025,300,0.976666666666667,0.98,0,0.00165323972741404,0.0816358943424416,-0.0462403334846331,0.0877227241886516,0.00529624942601621,0.0196017340512942,6.79,4.09,process-shard,4,4,20260912,0.3395,0.023333333333333
20,0.2,0.05,0,0.03,4,0.015,0,0,300,0.986666666666667,0.986666666666667,0,-0.00147579972309788,0.0792278553930128,-0.0317964163890602,0.0819269452804819,0.0119173951829778,0,6.05666666666667,3.85,process-shard,3,4,20260912,0.302833333333334,0.013333333333333
20,0.2,0.05,0,0.03,4,0.015,0.25,0.0125,300,0.973333333333333,0.973333333333333,0,0.00479414639900474,0.075984738793546,-0.0361979708731543,0.0814615620936426,0.0119173951829778,0.00992395129469394,6.45,4.16,process-shard,2,4,20260912,0.3225,0.0266666666666669
20,0.2,0.05,0,0.03,4,0.015,0.5,0.025,300,0.97,0.97,0,0.00200807676749869,0.077058713306616,-0.0335046635601552,0.0874989295404863,0.0119173951829778,0.0198479025893879,6.58666666666667,4.25,process-shard,1,4,20260912,0.329333333333333,0.03
20,0.2,0.05,0,0.03,5,0.0134164078649987,0,0,300,0.993333333333333,0.993333333333333,0,-0.00388528386509635,0.0785159273691896,-0.038645377424026,0.0819728894516968,0.0106043485815194,0,6.02333333333333,3.46666666666667,process-shard,4,4,20260912,0.301166666666666,0.00666666666666704
20,0.2,0.05,0,0.03,5,0.0134164078649987,0.25,0.0125,300,0.986666666666667,0.986666666666667,0,-0.000610949991471056,0.0743286867171262,-0.0338460839547924,0.0863355632794963,0.0106043485815194,0.0099539272181158,6.36333333333333,4.03,process-shard,3,4,20260912,0.318166666666666,0.013333333333333
20,0.2,0.05,0,0.03,5,0.0134164078649987,0.5,0.025,300,0.983333333333333,0.983333333333333,0,-0.000936362199019817,0.0770703897136461,-0.0365658554911368,0.0864446931133064,0.0106043485815194,0.0199078544362316,6.73,4.27333333333333,process-shard,2,4,20260912,0.3365,0.0166666666666671
20,0.2,0.05,1,0.015,4,0.0075,0,0,300,0.983333333333333,0.983333333333333,0,-0.00789777565958604,0.0764755991270946,-0.0411591531576701,0.0833973219481566,0.00604804843450366,0,6.05,3.87333333333333,process-shard,2,4,20260912,0.3025,0.0166666666666671
